Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2007050925179,2007-05-07 00:00:00,2007-03-31 00:00:00,RSW,Southwest Florida International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,450.8,Denied,0.0,Deny,37.0,450.8
2006111515657,2006-11-09 00:00:00,2006-10-08 00:00:00,MDW,Midway International Airport,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Bedding - Linens and bedspreads,200.0,Approved,200.0,Approve in Full,32.0,0.0
2007012519488,2007-01-17 00:00:00,2006-12-02 00:00:00,BZN,Gallatin Field,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,399.99,Denied,0.0,Deny,46.0,399.99
2007103034146,2007-10-23 00:00:00,2007-10-02 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,20.0,Approved,20.0,Approve in Full,21.0,0.0
2006063008809,2006-06-29 00:00:00,2006-09-10 00:00:00,DFW,Dallas-Fort Worth International Airport,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),450.0,Settled,150.0,Settle,-73.0,300.0
2007061126661,2007-06-05 00:00:00,2007-05-28 00:00:00,EUG,Eugene Airport/Mahlon Sweet Field,UAL,Property Damage,Checked Baggage,Toys (game systems; cartridges; radio controlled cars; etc.),249.99,Denied,0.0,Deny,8.0,249.99
2008100650822,2008-10-21 00:00:00,2008-09-20 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Computer - Laptop,400.0,Denied,0.0,Deny,31.0,400.0
2009091763771,2009-09-14 00:00:00,2009-08-22 00:00:00,PIT,Pittsburgh International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,4.0,Denied,0.0,Deny,23.0,4.0
2008120853174,2008-12-02 00:00:00,2008-08-28 00:00:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checked Baggage,Medical Equipment & Insturments,410.0,Approved,410.0,Approve in Full,96.0,0.0
2006122617889,2006-12-19 00:00:00,2006-11-05 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),97.85,Denied,0.0,Deny,44.0,97.85
2004063057991,2004-06-03 00:00:00,2004-04-29 00:00:00,BNA,Nashville International,American Airlines,Property Damage,Checked Baggage,Other,350.0,Denied,0.0,Deny,35.0,350.0
2007121936702,2007-12-14 00:00:00,2007-12-09 00:00:00,BGR,Bangor International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,20.0,Denied,0.0,Deny,5.0,20.0
2004051351884,2004-03-30 00:00:00,2004-03-01 00:00:00,TUS,Tucson International,Alaska Airlines,Property Damage,Checked Baggage,Other,428.95,Settled,228.95,Settle,29.0,200.0
2008031040694,2008-02-25 00:00:00,2007-12-26 00:00:00,OMA,Eppley Airfield,Continental Airlines,Property Damage,Checked Baggage,Alcoholic beverages; Clothing - Shoes; belts; accessories; etc.,316.0,Denied,0.0,Deny,61.0,316.0
2009081162486,2009-08-04 00:00:00,2009-03-29 00:00:00,LIT,Little Rock National,Southwest Airlines,Passenger Property Loss,Checked Baggage,Photographic Film,8.39,Denied,0.0,Deny,128.0,8.39
2005030777080,2005-02-01 00:00:00,2005-12-15 00:00:00,RSW,Southwest Florida International,American Eagle,Passenger Property Loss,Checked Baggage,Jewelry - Fine,299.31,Denied,0.0,Deny,-317.0,299.31
2006011799677,2006-01-10 00:00:00,2006-01-03 00:00:00,MDW,Midway International Airport,Southwest Airlines,Property Damage,Checked Baggage,Computer - Laptop,150.0,Denied,0.0,Deny,7.0,150.0
2004062256801,2004-05-27 00:00:00,2004-05-08 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Other,72.99,Approved,72.99,Approve in Full,19.0,0.0
2008010337261,2007-12-28 00:00:00,2007-12-24 00:00:00,LAX,Los Angeles International Airport,USAir,Passenger Property Loss,Checked Baggage,Toys - Other (including games; toys; play dolls etc.),69.98,Denied,0.0,Deny,4.0,69.98
2008112152687,2008-11-20 00:00:00,2008-11-13 00:00:00,TPA,Tampa International,Midwest Express Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,60.0,Denied,0.0,Deny,7.0,60.0
2005040181180,2005-03-25 00:00:00,2005-02-23 00:00:00,BNA,Nashville International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,31.49,Approved,31.49,Approve in Full,30.0,0.0
2009032556900,2009-03-06 00:00:00,2009-02-11 00:00:00,IAD,Washington Dulles International,UAL,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,53.2,Denied,0.0,Deny,23.0,53.2
0512005L,2003-05-12 00:00:00,2003-04-29 00:00:00,MSY,New Orleans International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),125.0,Settled,50.0,Settle,13.0,75.0
2007050725040,2007-04-24 00:00:00,2007-03-24 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,DVD/CD Players,218.06,Settled,109.99,Settle,31.0,108.07000000000001
2009111065295,2009-11-04 00:00:00,2009-10-26 00:00:00,CSG,Columbus Metroplitan,Delta Air Lines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,183.29,Denied,0.0,Deny,9.0,183.29
2007101033199,2007-10-09 00:00:00,2007-10-07 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Locks,10.0,Denied,0.0,Deny,2.0,10.0
2005100393756,2005-09-20 00:00:00,2005-09-07 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Currency,100.0,Denied,0.0,Deny,13.0,100.0
2005012774565,2005-01-07 00:00:00,2004-12-27 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,700.0,Denied,0.0,Deny,11.0,700.0
2004071259068,2004-06-22 00:00:00,2004-04-25 00:00:00,SJC,Norman Y Mineta San Jose International,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,244.3,Approved,244.3,Approve in Full,58.0,0.0
2004101364935,2004-09-10 00:00:00,2004-08-27 00:00:00,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines,Property Damage,Checked Baggage,Other,499.99,Denied,0.0,Deny,14.0,499.99
0402014L,2003-04-02 00:00:00,2003-03-09 00:00:00,DSM,Des Moines International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),45.03,Settled,27.5,Settle,24.0,17.53
2007101233351,2007-10-09 00:00:00,2007-08-25 00:00:00,CHS,Charleston International,Delta Air Lines,Property Damage,Checked Baggage,Cameras - Digital,583.0,Denied,0.0,Deny,45.0,583.0
2005052485495,2005-05-23 00:00:00,2005-05-07 00:00:00,MCO,Orlando International Airport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,49.95,Approved,49.95,Approve in Full,16.0,0.0
0221049L,2003-02-21 00:00:00,2003-01-22 00:00:00,BOS,Boston (Logan) International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,610.46,Denied,0.0,Deny,30.0,610.46
2009010553997,2008-12-22 00:00:00,2009-09-17 00:00:00,KOA,Kona International,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),70.0,Denied,0.0,Deny,-269.0,70.0
2005032980223,2005-03-15 00:00:00,2005-02-26 00:00:00,PSP,Palm Springs International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,69.99,Denied,0.0,Deny,17.0,69.99
2005121597872,2005-12-08 00:00:00,2005-11-28 00:00:00,MCO,Orlando International Airport,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Other,74.99,Denied,0.0,Deny,10.0,74.99
2008102751588,2008-10-21 00:00:00,2008-09-02 00:00:00,SAN,San Diego International,Continental Airlines,Property Damage,Checked Baggage,Locks; Luggage (all types including footlockers),60.0,Denied,0.0,Deny,49.0,60.0
2009041357462,2009-03-25 00:00:00,2009-02-19 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Locks,12.0,Denied,0.0,Deny,34.0,12.0
2007101833658,2007-10-15 00:00:00,2007-10-03 00:00:00,GSO,Piedmont Triad International Airport,SkyBus,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),200.0,Settled,100.0,Settle,12.0,100.0
0415033L,2003-04-15 00:00:00,2003-03-31 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),415.0,Denied,0.0,Deny,15.0,415.0
2004051452210,2004-04-01 00:00:00,2004-03-04 00:00:00,PHX,Phoenix Sky Harbor International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,53.63,Denied,0.0,Deny,28.0,53.63
2007042524462,2007-04-20 00:00:00,2007-04-12 00:00:00,IND,Indianapolis International,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,47.37,Settled,23.69,Settle,8.0,23.679999999999996
2005021876478,2005-01-26 00:00:00,2005-01-03 00:00:00,DAY,James M. Cox Dayton International,Delta Air Lines,Property Damage,Checked Baggage,Other,28.96,Approved,28.96,Approve in Full,23.0,0.0
2008050143672,2008-04-28 00:00:00,2007-07-28 00:00:00,SJU,Luis Munoz Marin International,American Eagle,Passenger Property Loss,Checked Baggage,Cameras - Digital,719.73,Denied,0.0,Deny,275.0,719.73
2005102094926,2005-10-17 00:00:00,2005-10-02 00:00:00,MIA,Miami International Airport,USAir,Property Damage,Checked Baggage,Locks,105.99,Denied,0.0,Deny,15.0,105.99
2004110466328,2004-09-15 00:00:00,2004-09-03 00:00:00,TPA,Tampa International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,64.78,Approved,64.78,Approve in Full,12.0,0.0
2005051084362,2005-05-10 00:00:00,2005-04-18 00:00:00,PHX,Phoenix Sky Harbor International,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,49.95,Denied,0.0,Deny,22.0,49.95
2005020275419,2005-01-11 00:00:00,2005-01-01 00:00:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,150.0,Settled,75.0,Settle,10.0,75.0
2006081611152,2006-08-14 00:00:00,2006-07-26 00:00:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),198.0,Denied,0.0,Deny,19.0,198.0
2004060755021,2004-05-04 00:00:00,2004-03-27 00:00:00,IAD,Washington Dulles International,KLM Royal Dutch Airlines,Passenger Property Loss,Checked Baggage,Other,4640.0,Denied,4640.0,Deny,38.0,0.0
0130153M,2004-01-30 00:00:00,2004-01-22 00:00:00,TPA,Tampa International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.0,Settled,50.0,Settle,8.0,150.0
2005110195493,2005-10-24 00:00:00,2005-09-01 00:00:00,ILM,Wilmington International,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),335.0,Settled,100.0,Settle,53.0,235.0
2006062108429,2006-06-21 00:00:00,2006-06-09 00:00:00,TPA,Tampa International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital,454.72,Denied,0.0,Deny,12.0,454.72
2008111852409,2008-12-03 00:00:00,2008-10-16 00:00:00,EWR,Newark International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,555.0,Denied,0.0,Deny,48.0,555.0
2006061307857,2006-06-12 00:00:00,2006-05-29 00:00:00,HNL,Honolulu International Airport,UAL,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),100.0,Denied,0.0,Deny,14.0,100.0
2007110734629,2007-10-31 00:00:00,2007-10-19 00:00:00,ALB,Albany International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Denied,0.0,Deny,12.0,50.0
2006032403674,2006-03-21 00:00:00,2006-03-10 00:00:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),30.0,Denied,0.0,Deny,11.0,30.0
2006073110253,2006-07-27 00:00:00,2006-06-12 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),149.99,Denied,0.0,Deny,45.0,149.99
2004060153987,2004-04-21 00:00:00,2004-03-25 00:00:00,SFO,San Francisco International,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,469.98,Settled,234.99,Settle,27.0,234.99
0730029M,2003-07-30 00:00:00,2003-07-18 00:00:00,MLI,Quad City (Moline)International Airport,AirTran Airlines,Property Damage,Checkpoint,Other,27.0,Approved,27.0,Approve in Full,12.0,0.0
2008092450365,2008-09-22 00:00:00,2008-09-10 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Locks,75.78,Denied,0.0,Deny,12.0,75.78
0904045M,2003-09-04 00:00:00,2003-08-11 00:00:00,SAV,Savannah International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1500.0,Approved,1500.0,Approve in Full,24.0,0.0
2005120897342,2005-11-22 00:00:00,2005-11-17 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Medicines,196.55,Denied,0.0,Deny,5.0,196.55
2006122818136,2006-12-27 00:00:00,2006-11-24 00:00:00,PHL,Philadelphia International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other; Other,317.99,Settled,115.91,Settle,33.0,202.08
2008072247196,2008-07-15 00:00:00,2008-07-10 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Other,19.0,Denied,0.0,Deny,5.0,19.0
2007102633969,2007-10-22 00:00:00,2007-09-15 00:00:00,GEG,Spokane International,UAL,Passenger Property Loss,Checked Baggage,Jewelry - Fine,468.0,Denied,0.0,Deny,37.0,468.0
1009174M,2003-10-09 00:00:00,2003-06-26 00:00:00,JFK,John F. Kennedy International,American Airlines,Property Damage,Checked Baggage,Cameras - Digital,736.95,Settled,255.0,Settle,105.0,481.95000000000005
1208281M,2003-12-08 00:00:00,2003-05-25 00:00:00,IND,Indianapolis International,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),71.95,Settled,65.0,Settle,197.0,6.950000000000003
2004092763947,2004-09-23 00:00:00,2004-08-13 00:00:00,DFW,Dallas-Fort Worth International Airport,Delta Air Lines,Passenger Theft,Checked Baggage,Other,75.0,Denied,0.0,Deny,41.0,75.0
2005082991668,2005-08-22 00:00:00,2005-03-08 00:00:00,ANC,Ted Stevens Anchorage International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),160.0,Denied,0.0,Deny,167.0,160.0
2009110465119,2009-10-29 00:00:00,2009-10-27 00:00:00,MHT,Manchester Regional Airport,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,102.0,Denied,0.0,Deny,2.0,102.0
0923042M,2003-09-23 00:00:00,2003-08-04 00:00:00,LAS,McCarran International,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,804.13,Approved,804.13,Approve in Full,50.0,0.0
2009072061478,2009-07-16 00:00:00,2009-06-20 00:00:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),70.61,Denied,0.0,Deny,26.0,70.61
2008123053812,2008-12-22 00:00:00,2008-11-20 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Lamps (including sun lamps),1072.5,Settled,500.0,Settle,32.0,572.5
0908004M,2003-09-08 00:00:00,2003-08-09 00:00:00,HOU,William P. Hobby,Southwest Airlines,Property Damage,Checked Baggage,Other,40.0,Settled,20.0,Settle,30.0,20.0
2008030540489,2008-02-25 00:00:00,2008-01-31 00:00:00,PHL,Philadelphia International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,69.0,Approved,69.0,Approve in Full,25.0,0.0
2007061827099,2007-06-14 00:00:00,2007-05-29 00:00:00,PHX,Phoenix Sky Harbor International,USAir,Passenger Property Loss,Checked Baggage,Lighters - (cigar; cigerette; etc.),55.0,Approved,55.0,Approve in Full,16.0,0.0
2005031778585,2005-02-23 00:00:00,2004-12-01 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),25.0,Approved,25.0,Approve in Full,84.0,0.0
2009030955969,2009-03-24 00:00:00,2009-02-03 00:00:00,PIE,St. Petersburg-Clearwater International,Allegiant Air,Passenger Property Loss,Checked Baggage,Jewelry - Costume,70.0,Denied,0.0,Deny,49.0,70.0
2006020100766,2006-01-26 00:00:00,2005-12-02 00:00:00,MCO,Orlando International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Cameras - Digital,373.62,Settled,186.81,Settle,55.0,186.81
0415010L,2003-04-15 00:00:00,2003-03-07 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,144.47,Approved,144.47,Approve in Full,39.0,0.0
2007111535078,2007-11-13 00:00:00,2007-11-05 00:00:00,PHX,Phoenix Sky Harbor International,Continental Airlines,Passenger Property Loss,Checked Baggage,Batteries - Dry cell only; Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),428.0,Settled,214.0,Settle,8.0,214.0
2004083061574,2004-07-27 00:00:00,2003-08-19 00:00:00,BNA,Nashville International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),52.0,Denied,0.0,Deny,343.0,52.0
2006021001372,2006-02-07 00:00:00,2006-01-11 00:00:00,LAS,McCarran International,Continental Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,160.0,Denied,0.0,Deny,27.0,160.0
2006042405033,2005-04-11 00:00:00,2006-04-06 00:00:00,DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Currency,50.0,Approved,50.0,Approve in Full,-360.0,0.0
0211124L,2003-02-11 00:00:00,2003-01-19 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,215.97,Settled,86.0,Settle,23.0,129.97
2008111752313,2008-10-31 00:00:00,2008-10-23 00:00:00,MIA,Miami International Airport,USAir,Property Damage,Checkpoint,Luggage (all types including footlockers),75.0,Approved,75.0,Approve in Full,8.0,0.0
2008042243054,2008-04-14 00:00:00,2008-04-05 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Northwest Airlines,Property Damage,Checked Baggage,Paintings and Pictures (including frames; etchings; photos; etc),52.98,Denied,0.0,Deny,9.0,52.98
2007071928621,2007-07-16 00:00:00,2007-07-01 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),568.0,Settled,247.94,Settle,15.0,320.06
0729177M,2003-07-29 00:00:00,2003-07-09 00:00:00,MIA,Miami International Airport,Continental Airlines,Property Damage,Checked Baggage,Locks,199.99,Denied,0.0,Deny,20.0,199.99
2008092450390,2008-09-24 00:00:00,2008-09-17 00:00:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,30.0,Approved,30.0,Approve in Full,7.0,0.0
0105569M,2004-01-05 00:00:00,2003-08-01 00:00:00,SJC,Norman Y Mineta San Jose International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,700.0,Settled,185.0,Settle,157.0,515.0
2008123053809,2008-12-22 00:00:00,2008-12-08 00:00:00,MCO,Orlando International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,425.99,Denied,0.0,Deny,14.0,425.99
2006072610064,2006-07-24 00:00:00,2006-06-15 00:00:00,MIA,Miami International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Luggage (all types including footlockers); Medicines,150.0,Denied,0.0,Deny,39.0,150.0
2005010572892,2004-12-17 00:00:00,2004-11-09 00:00:00,LGA,LaGuardia,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,33.45,Approved,33.45,Approve in Full,38.0,0.0
2005041282321,2005-04-12 00:00:00,2005-03-13 00:00:00,CAE,Columbia Metropolitan,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,25.0,Approved,25.0,Approve in Full,30.0,0.0
0401065L,2003-04-01 00:00:00,2003-02-15 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Denied,0.0,Deny,45.0,50.0
2006122117623,2006-12-14 00:00:00,2006-10-16 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Luggage (all types including footlockers),519.43,Settled,148.04,Settle,59.0,371.39
21052,2002-10-17 00:00:00,2002-09-22 00:00:00,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),60.0,Approved,60.0,Approve in Full,25.0,0.0
2005061486382,2005-06-06 00:00:00,2004-04-17 00:00:00,TLH,Tallahassee Regional,Delta Air Lines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),400.0,Denied,0.0,Deny,415.0,400.0
2006010999122,2006-01-03 00:00:00,2005-12-24 00:00:00,LAX,Los Angeles International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,590.0,Settled,183.65,Settle,10.0,406.35
0828000M,2003-08-28 00:00:00,2003-07-24 00:00:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checked Baggage,Musical Instruments - Other - Over $250,500.0,Denied,0.0,Deny,35.0,500.0
2006081410952,2006-08-11 00:00:00,2006-07-09 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,270.0,Settled,135.0,Settle,33.0,135.0
0127060L,2003-01-27 00:00:00,2003-01-09 00:00:00,MSY,New Orleans International,American Airlines,Property Damage,Checkpoint,Computer - Laptop,2469.0,Settled,1710.04,Settle,18.0,758.96
2008040141674,2008-03-25 00:00:00,2008-03-11 00:00:00,EWR,Newark International Airport,USA 3000 (U5),Property Damage,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),140.0,Denied,0.0,Deny,14.0,140.0
2004092263576,2004-09-16 00:00:00,2004-08-20 00:00:00,MIA,Miami International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,336.73,Approved,336.73,Approve in Full,27.0,0.0
2006052506974,2006-05-23 00:00:00,2006-04-20 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Clothing - Shoes; belts; accessories; etc.; MP3 Players-(iPods; etc),784.0,Denied,0.0,Deny,33.0,784.0
0423024L,2003-04-23 00:00:00,2003-04-03 00:00:00,PBI,Palm Beach International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),179.0,Denied,0.0,Deny,20.0,179.0
2006101814143,2006-10-10 00:00:00,2006-09-21 00:00:00,BOS,Boston (Logan) International Airport,Delta Air Lines,Property Damage,Checked Baggage,Books - Other (Hardcover non-fiction); Clothing - Shoes; belts; accessories; etc.; Linens - Quilts; Comforters; Luggage (all types including footlockers); Other; Video Recordings - Laser Discs,303.07,Denied,0.0,Deny,19.0,303.07
2009071761421,2009-07-07 00:00:00,2009-02-27 00:00:00,MSP,Minneapolis/ St.Paul International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Handbags & Purses (leather or fabric); Other,730.9,Denied,0.0,Deny,130.0,730.9
2005120196770,2005-11-18 00:00:00,2005-11-07 00:00:00,PDX,Portland International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.0,Settled,50.0,Settle,11.0,150.0
2006051206187,2006-05-10 00:00:00,2006-04-21 00:00:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Eyeglasses - (including contact lenses),348.45,Denied,0.0,Deny,19.0,348.45
0925182M,2003-09-25 00:00:00,2003-09-06 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,30.0,Settled,24.0,Settle,19.0,6.0
2005081190356,2005-08-02 00:00:00,2005-06-02 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,29.0,Denied,0.0,Deny,61.0,29.0
2004102165485,2004-09-20 00:00:00,2004-07-29 00:00:00,MDW,Midway International Airport,AirTran Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,6.35,Approved,6.35,Approve in Full,53.0,0.0
0318061L,2003-03-18 00:00:00,2003-02-27 00:00:00,SMF,Sacramento International Airport,America West,Passenger Property Loss,Checked Baggage,Other,20.0,Settled,10.0,Settle,19.0,10.0
